Year,Country,Air Pollution Index,CancerDeath,Inflation,Count,AvgTemperature,GDP
2004,Bolivia,0.059684406,7683.728043639999,4.8133333333333335,9069039,45.880874316939895,8773451739.0
2005,Bolivia,0.061627607,7924.741051929999,4.933333333333334,9232306,45.67205479452055,9549077869.0
2006,Bolivia,0.065748214,8106.896782580002,3.583333333333333,9395446,44.65698630136986,11451869165.0
2007,Bolivia,0.069341629,8367.23070558,9.03,9558439,44.46054794520549,13120183157.0
2008,Bolivia,0.07406783,8639.504504470002,15.0,9721454,43.08306010928962,16674324634.0
2009,Bolivia,0.07622251,8925.078139459998,2.373333333333333,9884781,44.73945205479452,17339992165.0
2010,Bolivia,0.084030681,9210.78505867,2.676666666666667,10048590,46.15369863013698,19649631314.0
2011,Bolivia,0.087712017,9479.74703991,9.756666666666666,10212954,45.04684931506849,23963033431.0
2012,Bolivia,0.093815206,9768.996315979995,4.48,10377676,45.30655737704918,27084497483.0
2013,Bolivia,0.095185753,10067.295998440002,6.326666666666667,10542376,45.21917808219178,30659338880.0
2014,Bolivia,0.098739872,10411.634866570002,6.566666666666666,10706517,45.06630136986301,32996188013.0
2015,Bolivia,0.097399342,10750.28489408,4.56,10869730,45.3275956284153,33000198248.0
2016,Bolivia,0.101199326,11062.32800799,4.266666666666667,11031813,45.31475409836066,33941126200.0
1995,Brazil,2.095429185,118618.9081161,63.642500000000005,162019896,71.81707762557078,769333000000.0
1996,Brazil,2.134615286,122818.39563940004,11.5075,164614688,71.34526411657559,850426000000.0
1997,Brazil,2.18564499,127174.9939488,5.755,167209040,61.27488584474886,883206000000.0
1998,Brazil,2.167975235,132028.1162279,3.065,169785250,53.259360730593606,863711000000.0
1999,Brazil,2.209703954,137467.2404639,6.432,172318675,69.98383561643836,599642000000.0
2000,Brazil,2.169248248,142250.17157259997,7.653999999999999,174790340,71.70291438979964,655448000000.0
2001,Brazil,2.195293043,145893.70008769998,7.93,177196054,72.36146118721462,559984000000.0
2002,Brazil,2.247819892,150149.73868029998,11.038,179537520,69.89059360730593,509795000000.0
2003,Brazil,2.335896604,155315.57431570004,17.826,181809246,70.90173515981735,558234000000.0
2004,Brazil,2.435608294,160348.90609869998,7.522,184006481,71.49553734061931,669289000000.0
2005,Brazil,2.436475377,165000.6155292,5.9,186127103,71.47041095890411,891634000000.0
2006,Brazil,2.472651206,169646.12902390002,2.832,188167356,70.95050228310502,1107630000000.0
2007,Brazil,2.580892111,173898.21347359996,4.3340000000000005,190130443,70.78748858447489,1397110000000.0
2008,Brazil,2.653648195,178178.0772533,8.129999999999999,192030362,68.97204007285974,1695860000000.0
2009,Brazil,2.575318469,182714.417363,4.308,193886508,71.0013698630137,1667000000000.0
2010,Brazil,2.761574162,187752.646326,5.348,195713635,72.39945205479451,2208840000000.0
2011,Brazil,2.804976972,192279.8329127,7.540000000000001,197514534,71.14,2616160000000.0
2012,Brazil,2.907792667,196804.943038,6.354,199287296,72.17468123861566,2465230000000.0
2013,Brazil,2.955348418,202094.9230273,6.492,201035903,72.0696803652968,2472820000000.0
2014,Brazil,3.021081543,207747.7709128,6.544,202763735,72.35908675799087,2456040000000.0
2015,Brazil,2.884613607,214372.9108687,10.036,204471769,71.77012750455374,1802210000000.0
