"Stkcd","Trdmnt","Mnshrtrd","Mnvaltrd","Msmvosd"
"000063","2018-12","2062615583","41517934700.839996","67274495.879999995"
"000063","2018-11","3384699362","67241157414.769997","68236050.700000003"
"000063","2018-10","2048353340","34062249896.959999","58139725.130000003"
"000063","2018-09","3038659240","55494513139.300003","62844475.479999997"
"000063","2018-08","4508641113","73403134966.300003","65557433.710000001"
"000063","2018-07","4888203354","71861241170.649994","50136175.149999999"
"000063","2018-06","1500117319","19874737230.189999","44744819.32"
"000063","2018-04","420274370","12919072016.530001","107518057.79000001"
"000063","2018-03","1301541640","41413888499.989998","103534635.66"
"000063","2018-02","1362719103","40903222685.559998","110564356.2"
"000063","2018-01","2529762954","90410760333.550003","106723410.83"
"000063","2017-12","2032981036","73273235401.550003","124693548.13"
"000063","2017-11","2462702392","88256304127.610001","113445065.23999999"
"000063","2017-10","1651469749","49219570530.480003","110735826.98"
"000063","2017-09","1388519521","35950699027.510002","97052459.069999993"
"000063","2017-08","1081292726","24710342479.040001","81825854.189999998"
"000063","2017-07","1329992089","30730902669.029999","78587792.700000003"
"000063","2017-06","1047087030","23017108852.790001","81292993.409999996"
"000063","2017-05","767835667","14242629943.33","66876670.649999999"
"000063","2017-04","612527276","10633525269.74","60815651.350000001"
"000063","2017-03","1469838372","25008388277.720001","58076207.590000004"
"000063","2017-02","488793124","7561696173.3999996","54104014.149999999"
"000063","2017-01","428501304","6510928626.6700001","51878216.100000001"
"000063","2016-12","656770643","10625894324.959999","54062665.93"
"000063","2016-11","911738856","15022512499.76","57079328.799999997"
"000063","2016-10","479420844","7291111674.4300003","51859485.189999998"
"000063","2016-09","415156593","6138995059.46","50096940.600000001"
"000063","2016-08","573061054","8480441766.0299997","49757989.710000001"
"000063","2016-07","808409813","11891425824.219999","49351248.649999999"
"000063","2016-06","624622516","8657544452.7000008","48605556.710000001"
"000063","2016-05","534960744","7354119535.4399996","46665107.990000002"
"000063","2016-04","826828897","12074251097.24","48189004.840000004"
"000063","2016-03","173948599","2568126938.6300001","50999747.920000002"
"000063","2016-02","498313863","7327293729.9899998","46326464.25"
"000063","2016-01","768545459","12140014404.129999","48561512.960000001"
"000063","2015-12","1117291622","20743164631.98","63089329.600000001"
"000063","2015-11","1658979301","31093758341.919998","58773048.75"
"000063","2015-10","1206142863","21065475736.450001","60017100.700000003"
"000063","2015-09","1148269482","18810399811.209999","52451919.939999998"
"000063","2015-08","2047440177","38799938809.139999","56318567.880000003"
"000063","2015-07","2786778079","58418320552.080002","67178805.150000006"
"000063","2015-06","2040838859","60177204490.360001","66696220.920000002"
"000063","2015-05","2634913279","83274382029.490005","86500600.670000002"
"000063","2015-04","2981461749","78241289900.350006","87256920.689999998"
"000063","2015-03","1840200030","38732738903.629997","61233909.670000002"
"000063","2015-02","947428508","18574957445.66","57592368.840000004"
"000063","2015-01","1701136275","33230598198.060001","53726733.189999998"
"000063","2014-12","2684724480","47597477442.970001","50589405.710000001"
"000063","2014-11","1149427253","17438207660.799999","43924231.200000003"
"000063","2014-10","782484861","11697737650.09","42579611.880000003"
"000063","2014-09","1216977410","17740135467.25","42467560.270000003"
"000157","2019-08","874502543","4814621684.1000004","33301985.32"
"000157","2019-07","1422280561","8496661530.2600002","38768537.630000003"
"000157","2019-06","1059780454","6013169297.1199999","37790322.509999998"
"000157","2019-05","1341838790","6852976505.3100004","33766061.880000003"
"000157","2019-04","1679668723","8735423368.9099998","31125140.84"
"000157","2019-03","1119080923","4943503582.1899996","28143207.039999999"
"000157","2019-02","500675096","2034893123.1600001","26384256.600000001"
"000157","2019-01","352894123","1291388819.99","23368912.989999998"
"000157","2018-12","317484097","1162094011.6600001","22363798.449999999"
"000157","2018-11","439418512","1574356097.23","22101579.550000001"
"000157","2018-10","305264110","1026199780.9299999","20794162.170000002"
"000157","2018-09","270348906","1009631883.61","23284480.989999998"
"000157","2018-08","467651322","1903250583.1500001","24093834.609999999"
"000157","2018-07","432652375","1766742974.03","26023831.710000001"
"000157","2018-06","379664703","1566292608.72","25588025.920000002"
"000157","2018-05","461371647","1954843057.22","25961573.739999998"
"000157","2018-04","350709089","1463910897.5","26148347.66"
"000157","2018-03","472493818","2005568334.3800001","26210605.629999999"
"000157","2018-02","487349388","2095444194.22","26644860.84"
"000157","2018-01","1167446801","5356136267.1700001","27952202.140000001"
"000157","2017-12","643652560","2793106770.1599998","27827693.440000001"
"000157","2017-11","690943478","3108453608.6900001","27391913.010000002"
"000157","2017-10","678726436","3154722010.96","28886017.359999999"
"000157","2017-09","623152713","2843265114.0100002","27889947.789999999"
"000157","2017-08","997979066","4766138583.2200003","28574745.620000001"
"000157","2017-07","1051455807","4895268438.2799997","29821567.920000002"
"000157","2017-06","607205181","2698282234.3899999","27953828.800000001"
"000157","2017-05","758904944","3299127936.2199998","27499422.690000001"
"000157","2017-04","1127988358","5397769864.2299995","28125833.23"
"000157","2017-03","1190867024","5763747328.3500004","29942423.800000001"
"000157","2017-02","1081771610","5198655334.2799997","30318270.120000001"
"000157","2017-01","460190031","2103507778.9300001","28501679.559999999"
"000157","2016-12","708023314","3246399879.9699998","28445680.859999999"
"000157","2016-11","1337509150","6393108869.0200005","29824105.93"
"000157","2016-10","761061077","3461622124.6300001","28633647.920000002"
"000157","2016-09","1258794580","5722769657.3699999","29009582.030000001"
"000157","2016-08","890711210","3845453654.77","26440698.949999999"
"000157","2016-07","733858809","3098555990.5100002","26190076.210000001"
"000157","2016-06","622500355","2563492249.23","25876797.789999999"
"000157","2016-05","581542103","2408041945.8800001","26060293.98"
"000157","2016-04","975904033","4473322349.2700005","26812033.23"
"000157","2016-03","1161559541","5225491464.5200005","28754026.289999999"
"000157","2016-02","698673716","3054488705.4899998","25621779.420000002"
"000157","2016-01","1022107320","4902092281.5900002","27187902.850000001"
"000157","2015-12","2156463660","11906504283.450001","33515041.539999999"
"000157","2015-11","2050236211","11275699724.51","31935654.899999999"
"000157","2015-10","1582154253","8452085467.3599997","32749701"
"000157","2015-09","1478138673","7899948174.2299995","31246846.649999999"
"000157","2015-08","4486088573","30133036066.869999","36005885.420000002"
"000157","2015-07","5351717187","34385982071.440002","37508739.770000003"
"000157","2015-06","6213606716","59510376510.199997","50783953.18"
"000157","2015-05","6465927242","52798106459.360001","55910685.289999999"
"000157","2015-04","6664108921","52442099208.470001","49211420.640000001"
